id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0001,0.109570,37.209946,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5216371522, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0002,-0.021242,37.277611,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5217392541, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0003,-1.177265,36.935818,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5109863168, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0004,-0.961931,35.732702,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4907973198, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mau_forest_complex,KEFRI indigenous species guide; GBM restoration manuals
bio_0005,-1.234614,36.819376,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4908330260, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0006,-0.941420,36.594178,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4054798593, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI indigenous species guide; GBM restoration manuals
bio_0007,-0.943379,36.597450,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4062887599, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI indigenous species guide; GBM restoration manuals
bio_0008,-0.709615,36.683580,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4440871928, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0009,0.094630,37.183667,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5109698051, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0010,-0.113492,37.043010,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3773155421, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0011,0.154329,37.418871,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3949327149, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0012,0.154346,37.418844,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3949351453, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0013,0.154303,37.418866,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3949462625, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0014,0.184685,37.348719,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 2645756753, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0015,-0.677390,36.967720,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 2397828899, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0016,1.233943,36.563390,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3455964640, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",lerroghi_kirisia_hills,KEFRI indigenous species guide; GBM restoration manuals
bio_0017,-0.928289,36.616097,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3456154434, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0018,-1.123004,36.678546,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 2645745601, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0019,-0.558021,35.663934,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3456154416, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mau_forest_complex,KEFRI indigenous species guide; GBM restoration manuals
bio_0020,-0.937190,36.601160,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 3059000330, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI indigenous species guide; GBM restoration manuals
bio_0021,-0.416597,36.666665,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 3455217765, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0022,-0.318545,37.191928,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2234736224, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0023,-0.304470,37.566210,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397825702, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0024,-0.563450,37.698710,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397826205, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0025,-0.274890,37.156560,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397828970, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0026,-0.344740,37.046420,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397829168, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0027,-0.274890,37.156560,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397829457, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0028,-0.344548,37.180016,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 1890034156, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0029,-3.350000,38.341667,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2268816379, dataset e053ff53-c156-4e2e-b9b5-4462e9625424",chyulu_hills,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0030,-3.350000,38.341667,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 4032166487, dataset 7bd65a7a-f762-11e1-a439-00145eb45e9a",chyulu_hills,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0031,-3.350000,38.341667,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 4061738941, dataset e053ff53-c156-4e2e-b9b5-4462e9625424",chyulu_hills,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0032,-0.166667,37.200000,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 1897749321, dataset 83ae84cf-88e4-4b5c-80b2-271a15a3e0fc",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0033,-0.166667,37.200000,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 1897756519, dataset 83ae84cf-88e4-4b5c-80b2-271a15a3e0fc",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0034,-0.800000,37.260000,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2513073542, dataset 15f819bd-6612-4447-854b-14d12ee1022d",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0035,-3.416670,38.300000,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2515889255, dataset 15f819bd-6612-4447-854b-14d12ee1022d",chyulu_hills,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0036,-0.150000,37.316660,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 1260896779, dataset e053ff53-c156-4e2e-b9b5-4462e9625424",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
