cfa_id,name,water_tower_id,county,contact_email,website,notes,source
mtk_chehe_cfa,Chehe Community Forest Association,mt_kenya,Nyeri,,,CFA active on SW Mt Kenya; highlighted in CEPF and Mongabay.,CEPF Final Project Report; Mongabay feature.
mtk_hombe_cfa,Hombe Community Forest Association,mt_kenya,Nyeri,,,Mt Kenya forest block CFA; noted by Nature Kenya.,CEPF Final Project Report.
mtk_ontulili_cfa,Ontulili Community Forest Association,mt_kenya,Nyeri,,,Mt Kenya ecosystem CFA; restoration & water partnerships.,CEPF Final Project Report; World Land Trust brief.
mtk_ragati_cfa,Ragati Community Forest Association,mt_kenya,Kirinyaga,,,Mt Kenya eastern slopes CFA.,CEPF Final Project Report.
mtk_mweru_cfa,Mweru Community Forest Association,mt_kenya,Kirinyaga,,,Mt Kenya CFA.,CEPF Final Project Report.
mtk_ngaya_cfa,Ngaya Community Forest Association,mt_kenya,Meru,,,Ngaya forest station CFA under PFM plan.,CEPF Final Project Report; KFS PFM launch.
mtk_ruthumbi_cfa,Ruthumbi Community Forest Association,mt_kenya,Meru,,,Ruthumbi forest station CFA under PFM plan.,CEPF Final Project Report; KFS PFM launch.
mtk_lower_imenti_cfa,Lower Imenti Community Forest Association,mt_kenya,Meru,,,Lower Imenti forest CFA.,CEPF Final Project Report.
nyb_nyambene_cfa,Nyambene Community Forest Association,nyambene_hills,Meru,,,Nyambene forest CFA.,CEPF Final Project Report; KFS PFM launch.
mtk_ntugi_cfa,Ntugi Community Forest Association,mt_kenya,Meru,,,Mt Kenya / Meru area CFA.,CEPF Final Project Report.
mtk_mefecap_cfa,Mount Kenya Ecosystem Forest Environmental Conservation & Protection Association (MEFECAP),mt_kenya,Meru,,,Umbrella CFA/association in Mt Kenya ecosystem.,CEPF Final Project Report; PFM proceedings.
mtk_ntimaka_cfa,Ntimaka Community Forest Association,mt_kenya,Meru,,,Mt Kenya CFA.,CEPF Final Project Report.
mtk_new_njukiiri_cfa,New Njukiiri Community Forest Association,mt_kenya,Meru,,,Mt Kenya CFA (Meru).,CEPF Final Project Report.
mtk_irangi_cfa,Irangi Community Forest Association,mt_kenya,Meru,,,Mt Kenya CFA (Meru).,CEPF Final Project Report.
mtk_farm_forestry_cfa,Farm Forestry Community Forest Association,mt_kenya,Meru,,,Mt Kenya/Meru farm forestry CFA.,CEPF Final Project Report.
mtk_nkunga_group,Nkunga Forest Protection Self Help Group (CFA-linked),mt_kenya,Meru,,,Forest protection group affiliated to MEFECAP.,PFM proceedings.
mtk_ribui_kirachene_group,Ribui Kirachene Forest Operation Protection Group (CFA-linked),mt_kenya,Meru,,,Forest protection group affiliated to MEFECAP.,PFM proceedings.
abe_kiburu_cfa,Aberdare Kiburu Community Forest Association (AKCOFA),aberdare_range,Nyandarua,,,Operates in South Kinangop / Aberdare ecosystem.,AKCOFA page; talkafrica feature.
abe_geta_cfa,Geta Community Forest Association,aberdare_range,Nyandarua,,,Geta forest block CFA in Aberdare.,Rhino Ark/Darwin Initiative report.
mau_macofa,Mau Community Forest Association (MACOFA),mau_forest_complex,Nakuru/Kericho/Bomet/Narok,mauforesta@yahoo.com,,Umbrella CFA for Mau complex.,CFA International directory.
mau_nairotia_cfa,Nairotia Community Forest Association,mau_forest_complex,Narok,,,Transmara forest block CFA.,PFM Mau performance study.
mau_nyangores_cfa,Nyangores Community Forest Association,mau_forest_complex,Narok,,,Transmara forest block CFA.,PFM Mau performance study.
mau_olenguruone_cfa,Olenguruone Community Forest Association,mau_forest_complex,Nakuru,,,Mau forest block CFA.,PFM Mau performance study.
mau_logoman_cfa,Logoman Community Forest Association,mau_forest_complex,Nakuru,,,WWF-supported PFM plan CFA.,WWF-Kenya Mau PFM article.
mau_cofeg_cfa,Community Food Environmental Group (COFEG) CFA,mau_forest_complex,Nakuru,,,Community CFA in West Mau forest block.,PELUM report.
elg_cheptais_cfa,Cheptais Community Forest Association,mt_elgon,Bungoma,,,Mt Elgon forest-adjacent CFA.,KIPPRA tree planting post.
chy_kicoffa,Kibwezi Community Forest Association (KICOFA),chyulu_hills,Makueni,,,CFA in Kibwezi forest / Chyulu ecosystem.,Chyulu Hills PES baseline; Kibwezi CFA study.
loi_loita_cfa,Loita Community Forest Association,loita_hills,Narok,,,Indigenous forest CFA around Loita.,Loita CFA boundary study.
shi_shicofa,Shimba Hills Community Forest Association (SHICOFA),shimba_hills,Kwale,,,CFA adjacent to Shimba Hills ecosystem.,Shimba Hills Ecosystem Plan; GLF profile.
kul_kulal_cfa,Mount Kulal Biosphere Reserve Community Forest Association,mt_kulal,Marsabit,,,CFA involved in Kulal biosphere restoration.,Conservation Leadership Programme report.
